site,description
http://bomberos.mininterior.gov.co/,DIRECCIÓN NACIONAL DE BOMBEROS
http://derechodeautor.gov.co/,DIRECCION NACIONAL DE DERECHO DE AUTOR
http://www.sanatorioaguadedios.gov.co/,E.S.E. SANATORIO DE AGUA DE DIOS
http://www.ejercito.mil.co/,EJERCITO NACIONAL DE COLOMBIA
http://www.vecol.com.co/,Empresa Colombiana de Productos Veterinarios Vecol S.A..
http://www.coljuegos.gov.co/,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO ADMINISTRADORA DEL MONOPOLIO RENTISTICO DE LOS JUEGOS DE SUERTE Y AZAR -COLJUEGOS-
http://www.agenciavirgiliobarco.gov.co/,EMPRESA NACIONAL DE RENOVACIÓN Y DESARROLLO URBANO VIRGILIO BARCO SAS
http://www.esap.edu.co/,ESCUELA SUPERIOR DE ADMINISTRACION PÚBLICA
http://www.fiducoldex.com.co/,Fiduciaria Colombiana de Comercio Exterior S.A.
http://www.fiduprevisora.com.co,FIDUCIARIA LA PREVISORA S.A.
http://www.fdn.com.co/,FINANCIERA DE DESARROLLO NACIONAL S.A. - FDN
http://www.findeter.gov.co/ ,FINANCIERA DE DESARROLLO TERRITORIAL S.A. FINDETER
http://www.fondoadaptacion.gov.co/,FONDO ADAPTACION
http://www.fodesep.gov.co/,FONDO DE DESARROLLO DE LA EDUCACION SUPERIOR - FODESEP
http://www.fogacoop.gov.co/,FONDO DE GARANTIAS DE ENTIDADES COOPERATIVAS FOGACOOP
http://www.fogafin.gov.co/,FONDO DE GARANTIAS DE INSTITUCIONES FINANCIERAS FOGAFIN
http://www.fps.gov.co/,FONDO DE PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA
http://www.fonprecon.gov.co/,FONDO DE PREVISION SOCIAL DEL CONGRESO DE LA  REPUBLICA
http://www.fonade.gov.co/,FONDO FINANCIERO DE PROYECTOS DE DESARROLLO - FONADE
http://www.fna.gov.co/,FONDO NACIONAL DE AHORRO - FNA
http://www.fng.gov.co/,FONDO NACIONAL DE GARANTIAS S.A. FNG
http://www.finagro.com.co/,FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO - FINAGRO
http://www.forpo.gov.co/,FONDO ROTATORIO DE LA POLICIA NACIONAL
http://www.fac.mil.co/,FUERZA AEREA COLOMBIANA
http://www.hospitalmilitar.gov.co/,HOSPITAL MILITAR CENTRAL
http://www.imprenta.gov.co/,IMPRENTA NACIONAL DE COLOMBIA
http://www.indumil.gov.co/,INDUSTRIA MILITAR
http://www.caroycuervo.gov.co/,INSTITUTO CARO Y CUERVO
http://www.ica.gov.co/,INSTITUTO COLOMBIANO AGROPECUARIO ICA
http://www.icanh.gov.co/,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA
http://www.icbf.gov.co/,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR
http://www.icetex.gov.co,INSTITUTO COLOMBIANO DE CRÉDITO EDUCATIVO Y ESTUDIOS TÉCNICOS EN EL EXTERIOR - ICETEX
http://www.icfes.gov.co/,INSTITUTO COLOMBIANO PARA LA EVALUACIÓN DE LA EDUCACION - ICFES
http://www.icfe.gov.co/,INSTITUTO DE CASAS FISCALES DEL EJERCITO
http://www.ideam.gov.co/,INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM
http://www.ipse.gov.co/,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE
http://www.igac.gov.co/,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI
http://www.ins.gov.co/,INSTITUTO NACIONAL  DE SALUD INS
http://www.cancer.gov.co/,INSTITUTO NACIONAL DE CANCEROLOGIA  EMPRESA SOCIAL DEL ESTADO
http://www.infotepsai.edu.co/,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DE SAN ANDRES ISLAS
http://www.infotep.edu.co/,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL SAN JUAN DEL CESAR
http://www.inm.gov.co/,INSTITUTO NACIONAL DE METROLOGÍA
http://www.invias.gov.co/,INSTITUTO NACIONAL DE VIAS
http://www.invima.gov.co/,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS INVIMA
http://www.inci.gov.co/,INSTITUTO NACIONAL PARA CIEGOS -INCI-
http://www.insor.gov.co/,INSTITUTO NACIONAL PARA SORDOS
http://www.inpec.gov.co/,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO -INPEC-
http://www.itc.edu.co/ ,INSTITUTO TECNICO CENTRAL
http://www.intenalco.edu.co/,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ
http://www.itfip.edu.co/,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL
http://www.previsora.gov.co/,LA PREVISORA S.A. COMPAÑIA DE SEGUROS
http://www.arcogb.co/,LEASING BANCOLDEX S.A. C.F.C
http://www.migracioncolombia.gov.co/,MIGRACIÓN COLOMBIA
http://www.minagricultura.gov.co/,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL
http://www.minambiente.gov.co/,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE
http://www.mincit.gov.co/,MINISTERIO DE COMERCIO INDUSTRIA Y TURISMO
http://www.mincultura.gov.co/,MINISTERIO DE CULTURA
http://www.mindefensa.gov.co/ ,MINISTERIO DE DEFENSA NACIONAL
http://www.mineducacion.gov.co/,MINISTERIO DE EDUCACIÓN NACIONAL
http://www.minhacienda.gov.co/,MINISTERIO DE HACIENDA Y CREDITO PUBLICO
http://www.minjusticia.gov.co/,MINISTERIO DE JUSTICIA Y DEL DERECHO
http://www.minminas.gov.co/ ,MINISTERIO DE MINAS Y ENERGIA
http://www.cancilleria.gov.co/ ,MINISTERIO DE RELACIONES EXTERIORES
http://www.minsalud.gov.co/,MINISTERIO DE SALUD Y PROTECCION SOCIAL
http://www.mintic.gov.co/,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES
http://www.mintransporte.gov.co/ ,MINISTERIO DE TRANSPORTE
http://www.minvivienda.gov.co/,MINISTERIO DE VIVIENDA CIUDAD Y TERRITORIO
http://www.mininterior.gov.co/ ,MINISTERIO DEL INTERIOR
http://www.mintrabajo.gov.co/ ,MINISTERIO DEL TRABAJO
http://www.positiva.gov.co/ ,POSITIVA COMPAÑÍA DE SEGUROS S.A.
http://www.rtvc.gov.co/ ,RADIO TELEVISION NACIONAL DE COLOMBIA
http://www.sanatoriocontratacion.gov.co/ ,SANATORIO DE CONTRATACION EMPRESA SOCIAL DEL ESTADO
http://www.satena.com,SERVICIO AEREO A TERRITORIOS NACIONALES
http://www.sgc.gov.co,SERVICIO GEOLÓGICO COLOMBIANO
http://www.sena.edu.co/,SERVICIO NACIONAL DE APRENDIZAJE SENA
http://www.4-72.com.co/,SERVICIOS POSTALES NACIONALES
http://www.saesas.gov.co/ ,SOCIEDAD DE ACTIVOS ESPECIALES SAE S.A.S
http://www.fiduagraria.gov.co/ ,SOCIEDAD FIDUCIARIA DE DESARROLLO AGROPECUARIO SA  - FIDUAGRARIA SA
http://www.sht.com.co/ ,SOCIEDAD HOTELERA TEQUENDAMA S.A. CROWNE PLAZA
http://www.sic.gov.co/ ,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO
http://www.supersolidaria.gov.co/ ,SUPERINTENDENCIA DE LA ECONOMIA SOLIDARIA
http://www.supernotariado.gov.co/ ,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO
http://www.supertransporte.gov.co/ ,SUPERINTENDENCIA DE PUERTOS Y TRANSPORTE
http://www.superservicios.gov.co/,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS
http://www.supersociedades.gov.co/ ,SUPERINTENDENCIA DE SOCIEDADES
http://www.supervigilancia.gov.co/ ,SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA
http://www.ssf.gov.co/ ,SUPERINTENDENCIA DEL SUBSIDIO FAMILIAR
http://www.superfinanciera.gov.co/ ,SUPERINTENDENCIA FINANCIERA DE COLOMBIA
http://www.supersalud.gov.co/ ,SUPERINTENDENCIA NACIONAL DE SALUD
http://www.jcc.gov.co/,UNIDAD ADMINISTRATIVA ESPECIAL - JUNTA CENTRAL DE CONTADORES
http://www.aerocivil.gov.co/ ,UNIDAD ADMINISTRATIVA ESPECIAL DE AERONAUTICA CIVIL
http://www.ugpp.gov.co/ ,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN DE PENSIONES PÚBLICAS Y PARAFISCALES
http://www.restituciondetierras.gov.co/ ,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN DE RESTITUCIÓN DE TIERRAS DESPOJADAS
http://www.uiaf.gov.co/ ,UNIDAD ADMINISTRATIVA ESPECIAL DE INFORMACION Y ANALISIS FINANCIERO UIAF
http://www.orgsolidarias.gov.co/ ,UNIDAD ADMINISTRATIVA ESPECIAL DE ORGANIZACIONES SOLIDARIAS
http://www.parquesnacionales.gov.co,UNIDAD ADMINISTRATIVA ESPECIAL DE PARQUES NACIONALES NATURALES
http://www.dian.gov.co/ ,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES DIAN
http://serviciodeempleo.gov.co/,UNIDAD ADMINSITRATIVA ESPECIAL DEL SERVICIO PUBLICO DE EMPLEO
http://www.unidadvictimas.gov.co,UNIDAD DE ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS
http://www.upme.gov.co/ ,UNIDAD DE PLANEACION MINERO ENERGETICA UPME
http://www.upra.gov.co/ ,UNIDAD DE PLANIFICACION DE USO DE TIERRA RURALES ADECUACION DE TIERRAS Y USOS AGROPECUARIOS - UPRA
http://www.uspec.gov.co,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS -SPC-
http://www.unp.gov.co/ ,UNIDAD NACIONAL DE PROTECCIÓN - UNP
http://gestiondelriesgo.gov.co/ ,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES - UNGRD
