site,description
http://www.colpensiones.gov.co/ ,ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES
http://www.reintegracion.gov.co/ ,AGENCIA COLOMBIANA PARA LA REINTEGRACIÓN DE PERSONAS Y GRUPOS ALZADOS EN ARMAS
http://www.itrc.gov.co,AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS RENTAS Y CONTRIBUCIONES PARAFISCALES - ITRC
http://www.agencialogistica.gov.co,AGENCIA LOGISTICA DE LAS FUERZAS MILITARES
http://www.colombiacompra.gov.co/,AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA-COLOMBIA COMPRA EFICIENTE
http://defensajuridica.gov.co/,AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO
http://www.anh.gov.co/,AGENCIA NACIONAL DE HIDROCARBUROS - ANH
http://www.ani.gov.co/ ,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI
http://www.anm.gov.co/,AGENCIA NACIONAL DE MINERIA
http://www.ane.gov.co/,AGENCIA NACIONAL DEL ESPECTRO - ANE
http://www.apccolombia.gov.co/,AGENCIA PRESIDENCIAL DE COOPERACION INTERNACIONAL DE COLOMBIA APC
http://www.archivogeneral.gov.co/,ARCHIVO GENERAL DE LA NACION
http://www.armada.mil.co/,ARMADA NACIONAL
http://artesaniasdecolombia.com.co/,ARTESANIAS DE COLOMBIA S.A.
http://www.aunap.gov.co,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP
http://www.anla.gov.co/,AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES
http://www.bancoagrario.gov.co/,BANCO AGRARIO DE COLOMBIA SA - BANAGRARIO S.A.
http://www.bancoldex.com/,BANCO DE COMERCIO EXTERIOR DE COLOMBIA BANCOLDEX
http://www.cremil.gov.co/,CAJA DE RETIRO DE LAS FUERZAS MILITARES
http://www.casur.gov.co/,CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL
http://www.cajahonor.gov.co,CAJA PROMOTORA DE VIVIENDA MILITAR
http://www.cisa.gov.co/,CENTRAL DE INVERSIONES S.A.
http://www.centrodememoriahistorica.gov.co/,CENTRO DE MEMORIA HISTÓRICA
http://www.dermatologia.gov.co/,CENTRO DERMATOLOGICO FEDERICO LLERAS ACOSTA EMPRESA SOCIAL DEL ESTADO
http://www.clubmilitar.gov.co/,CLUB MILITAR
http://www.cgfm.mil.co,COMANDO GENERAL DE LAS FUERZAS MILITARES
http://www.cra.gov.co/,COMISIÓN DE REGULACIÓN DE AGUA POTABLE Y SANEAMIENTO BÁSICO - CRA
http://www.crcom.gov.co/,COMISIÓN DE REGULACIÓN DE COMUNICACIONES
http://www.creg.gov.co/,COMISION DE REGULACION DE ENERGIA Y GAS -CREG-
http://www.contaduria.gov.co/,CONTADURIA GENERAL DE LA NACION
http://www.ciac.gov.co/,CORPORACION DE LA INDUSTRIA AERONAUTICA COLOMBIANA S.A CIAC S.A
http://www.nasakiwe.gov.co/,CORPORACION PARA LA RECONSTRUCCION DE LA CUENCA DEL RIO PAEZ Y ZONAS ALEDAÑAS - NASA KIWE
http://www.defensacivil.gov.co/,DEFENSA CIVIL COLOMBIANA
http://www.colciencias.gov.co/,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGÍA  E INNOVACIÓN
http://www.funcionpublica.gov.co/,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCION PUBLICA
http://presidencia.gov.co/,DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA
http://www.coldeportes.gov.co,DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE LA RECREACIÓN LA ACTIVIDAD FÍSICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE COLDEPORTES
http://www.dni.gov.co/ ,DIRECCION NACIONAL DE INTELIGENCIA
http://www.dane.gov.co/,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA
http://www.dps.gov.co/,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL
http://www.dnp.gov.co/,DEPARTAMENTO NACIONAL DE PLANEACION
http://www.policia.gov.co/,DIRECCION GENERAL DE LA POLICIA NACIONAL
http://www.dimar.mil.co/,DIRECCION GENERAL MARITIMA
