site,description
http://www.presidencia.gov.py, Presidencia
https://www.senatics.gov.py, Secretaria de TIC
http://www.mdn.gov.py, Ministerio de Defensa
http://www.senado.gov.py, Senado
http://www.pj.gov.py, Poder Judicial
http://senad.gov.py, Secretaria Antidrogas
